,0
"she had been despondent as any of them to begin with; but after weeping--as well she might--for her father's misfortunes, she recovered her natural gaiety, made the best of things, tried to forget how ungrateful the world had been, kept her father and her brothers amused with her cheerful wit, and after she had done her work, would sing and play",0.6681246161460876
"so beautiful, indeed, was this youngest sister that in the old days every one had agreed to call her beauty --by that and by no other name she was known",0.5746815204620361
only beauty would not ask for anything,0.4635718762874603
"'well, beauty ,' he said, 'and what shall i bring home for you ? surely you, too, wish for something ? ' 'dear father,' she answered, 'i wish for the most precious thing in the world; and that is to see you home again safe and sound",0.6547188758850098
' in this way beauty contrived to obey her father and yet to put him to no expense,0.37889134883880615
' in this way beauty contrived to obey her father and yet to put him to no expense,0.37889134883880615
they reminded him of his promise to beauty,0.5828467607498169
"' the merchant, although in fear of his life, plucked up courage to tell the monster that the rose which he had been bold to pluck was for one of his daughters, by name beauty",0.5211418271064758
"then, in hope either to delay the beast's vengeance or to touch his compassion, he launched into the tale of all his misfortunes, and of his reasons for the journey, not forgetting to mention beauty again and her request",0.39019399881362915
"then, before starting, you will find breakfast laid for you here; your horse will be standing ready saddled in the courtyard; and you may carry back the rose to your daughter beauty --as you call her",0.5943390130996704
"the merchant's sons and daughters had rushed out at his approach; though it was not until he drew quite close that they recognised their father in this horseman superbly cloaked, with a rose at his holster, and mounted on a horse that travelled at such a speed",0.5901757478713989
"his first motion then was to pluck the fatal rose from the pommel and hand it to beauty , saying: 'here is what you asked me to bring",0.5010946393013
"'did i not say, all along, that to force a rose at this time of the year would cost you more than would have bought presents for all the rest of us ? a rose, in mid-winter ! and such a rose ! there--one has only to look at it to see that you took good care beauty should have her present, no matter at what cost to us ! ' 'it is all too true,' answered their father sorrowfully, 'that this rose has cost me dear--far dearer than all the presents you others begged of me",0.7526206970214844
"'did i not say, all along, that to force a rose at this time of the year would cost you more than would have bought presents for all the rest of us ? a rose, in mid-winter ! and such a rose ! there--one has only to look at it to see that you took good care beauty should have her present, no matter at what cost to us ! ' 'it is all too true,' answered their father sorrowfully, 'that this rose has cost me dear--far dearer than all the presents you others begged of me",0.7526206970214844
"it left their hopes utterly dashed: and the daughters lamented their lot, while their brothers hardily declared that they would never allow their father to return to this accursed castle--they would march thither in a body and destroy the horrible beast who owned it",0.46087202429771423
but their father assured them that he had given his word and would rather die than break it,0.40914857387542725
thereat the sisters turned upon beauty and started to upbraid and rail against her,0.5641355514526367
"but you chose to be singular--you, with your precious rose ! and now our father must die, and we must all suffer through your affectation ! ' poor beauty controlled her tears and answered them: 'yes, i am to blame for all this, though, indeed, dear sisters, i did it innocently; for how could i guess that to ask for a rose in the middle of summer, as it was then, would give rise to all this misery ? but what does that matter ? innocent or guilty, i cannot allow you to suffer for what was my fault; and so i will go back with our father to save him from his promise",0.5719571709632874
