,0
once there was a tree,0.5648747682571411
and she loved a little boy,0.666685938835144
and everyday the boy would come and he would gather her leaves and make them into crowns and play king of the forest,0.4932667016983032
and the boy loved the tree,0.6991337537765503
and the boy loved the tree,0.6991337537765503
and the tree was happy,0.686217725276947
and the boy grew older,0.5754742622375488
and the tree was often alone,0.5450474619865417
"then one day the boy came to the tree and the tree said, ""come, boy, come and climb up my trunk and swing from my branches and eat apples and play in my shade and be happy",0.7816616296768188
"then one day the boy came to the tree and the tree said, ""come, boy, come and climb up my trunk and swing from my branches and eat apples and play in my shade and be happy",0.7816616296768188
""" ""i am too big to climb and play"" said the boy",0.5032604336738586
""" and so the boy climbed up the tree and gathered her apples and carried them away",0.5348095893859863
""" and so the boy climbed up the tree and gathered her apples and carried them away",0.5348095893859863
and the tree was happy,0.686217725276947
but the boy stayed away for a long time,0.4894227385520935
and the tree was sad,0.43935737013816833
"and then one day the boy came back and the tree shook with joy and she said, ""come, boy, climb up my trunk and swing from my branches and be happy",0.790817379951477
"and then one day the boy came back and the tree shook with joy and she said, ""come, boy, climb up my trunk and swing from my branches and be happy",0.790817379951477
""" ""i am too busy to climb trees,"" said the boy",0.4520636796951294
"can you give me a house ? "" "" i have no house,"" said the tree",0.40021657943725586
""" and so the boy cut off her branches and carried them away to build his house",0.3743038475513458
and the tree was happy,0.686217725276947
but the boy stayed away for a long time,0.4894227385520935
"and when he came back, the tree was so happy she could hardly speak",0.6134515404701233
""" ""i am too old and sad to play,"" said the boy",0.44269856810569763
"can you give me a boat ? "" ""cut down my trunk and make a boat,"" said the tree",0.3959147036075592
""" and so the boy cut down her trunk and made a boat and sailed away",0.32180777192115784
and the tree was happy,0.686217725276947
and after a long time the boy came back again,0.6309069991111755
""" ""my teeth are too weak for apples,"" said the boy",0.329584002494812
"""my branches are gone,"" said the tree",0.5521815419197083
""" you cannot swing on them - "" ""i am too old to swing on branches,"" said the boy",0.4873386323451996
"""my trunk is gone, "" said the tree",0.5836721062660217
"""you cannot climb - "" ""i am too tired to climb"" said the boy",0.3068588972091675
"""i am sorry,"" sighed the tree",0.5260271430015564
""" ""i don't need very much now,"" said the boy",0.5837173461914062
""" and the boy did",0.4857787489891052
and the tree was happy,0.686217725276947
