,0
"there was once a boy named milo who didn't know what to do with himselfnot just sometimes, but always",0.5205737352371216
""" of course, if you've ever gotten a surprise package, you can imagine how puzzled and excited milo was; and if you've never gotten one, pay close attention, because someday you might",0.562919557094574
""" ""beyond what ? "" thought milo as he continued to read",0.3884219527244568
"the only trouble was that milo had never heard of any of the places it indicated, and even the names sounded most peculiar",0.48281553387641907
"""dictionopolis,"" read milo slowly when he saw what his finger had chosen",0.5705671310424805
"now what else can i do for you ? "" and before milo could reply he rushed into the house and reappeared a moment later with a new coat and an umbrella",0.3805171847343445
"you did say it was going to rain, didn't you ? "" and with that he opened the umbrella and walked with milo to the car",0.32432258129119873
""" his last good-by was drowned out by an enormous clap of thunder, and as milo drove down the road in the bright sunshine he could see the whether man standing in the middle of a fierce cloudburst that seemed to be raining only on him",0.4312392771244049
"the little car bounced along with very little effort, and milo had hardly to touch the accelerator to go as fast as he wanted",0.37151509523391724
"in a short time he wasn't paying any attention at all, and that is why, at a fork in the road, when a sign pointed to the left, milo went to the right, along a route which looked suspiciously like the wrong way",0.20332947373390198
"""i wonder where i am,"" said milo in a very worried tone",0.49521467089653015
""" this time the voice came from so close that milo jumped with surprise, for, sitting on his right shoulder, so lightly that he hardly noticed, was a small creature exactly the color of his shirt",0.5057222247123718
""" milo looked around and, for the first time, noticed dozens of themsitting on the car, standing in the road, and lying all over the trees and bushes",0.5237380862236023
""" milo quickly pulled the rule book from his pocket, opened to the page, and read, ""ordinance 175389-j: it shall be unlawful, illegal, and unethical to think, think of thinking, surmise, presume, reason, meditate, or speculate while in the doldrums",0.3065181374549866
"milo couldn't help laughing at the little creature's strange behavior, even though he knew it might be rude",0.34052109718322754
""" opening the book again, milo found ordinance 574381-w: ""in the doldrums, laughter is frowned upon and smiling is permitted only on alternate thursdays",0.547872006893158
""" ""well, if you can't laugh or think, what can you do ? "" asked milo",0.4387386441230774
""" ""you mean you'd never get anything done,"" corrected milo",0.3594507575035095
""" ""the watchdog ? "" said milo quizzically",0.49350279569625854
"""just killing time,"" replied milo apologetically",0.504629909992218
"""why are you in the doldrums anywaydon't you have anywhere to go ? "" ""i was on my way to dictionopolis when i got stuck here,"" explained milo",0.341458261013031
""" ""i guess i just wasn't thinking,"" said milo",0.5475997924804688
""" milo began to think as hard as he could (which was very difficult, since he wasn't used to it)",0.3810006380081177
"all the colors had returned to their original brightness, and as they raced along the road milo continued to think of all sorts of things; of the many detours and wrong turns that were so easy to take, of how fine it was to be moving along, and, most of all, of how much could be accomplished with just a little thought",0.8148241639137268
""" milo was so relieved at having escaped the doldrums that he assured the dog that he bore him no ill will and, in fact, was very grateful for the assistance",0.31695806980133057
you may call me tock,0.4291630983352661
""" ""that is a strange name for a dog who goes tickticktickticktick all day,"" said milo",0.5314546227455139
"""why didn't they call you "" ""don't say it,"" gasped the dog, and milo could see a tear well up in his eye",0.4336293935775757
"when i arrived, they were determined not to make the same mistake twice and, since it seemed logical that all their children would make the same sound, they named me tock",0.16856512427330017
"of course, you know the restmy brother is called tick because he goes tocktocktocktocktocktocktock and i am called tock because i go tickticktickticktickticktick and both of us are forever burdened with the wrong names",0.4829307794570923
""" ""but how did you become a watchdog ? "" interjected milo, hoping to change the subject, as tock was sobbing quite loudly now",0.2829945981502533
"""are you all right ? "" shouted milo",0.44472259283065796
"""umphh,"" grunted tock",0.45099911093711853
""" as they drove along, tock continued to explain the importance of time, quoting the old philosophers and poets and illustrating each point with gestures that brought him perilously close to tumbling headlong from the speeding automobile",0.2836373448371887
"have you come to buy or sell ? "" ""i beg your pardon ? "" said milo",0.22813472151756287
"""which is it ? you must have come here for some reason",0.4518207609653473
""" ""well, i "" milo began",0.6091222167015076
milo shook his head,0.47105175256729126
"""you can't get in without a reason",0.4466418921947479
"he dusted it off, and engraved on one side were the words ""why not ? "" ""that's a good reason for almost anythinga bit used perhaps, but still quite serviceable",0.41993165016174316
"""i wonder what the market will be like,"" thought milo as they drove through the gate; but before there was time for an answer they had driven into an immense square crowded with long lines of stalls heaped with merchandise and decorated in gay-colored bunting",0.4965469241142273
"""greetings ! "" ""salutations ! "" ""welcome ! "" ""good afternoon ! "" ""hello ! "" milo nodded his head, and they went on, reading from heir scrolls",0.7881507873535156
"""by order of azaz the unabridged "" ""king of dictionopolis "" ""monarch of letters "" ""emperor of phrases, sentences, and miscellaneous figures of speech "" ""we offer you the hospitality of our kingdom,"" ""country,"" ""nation,"" ""state,"" ""commonwealth,"" ""realm,"" ""empire, ""palatinate,"" ""principality",0.6971520781517029
""" ""do all those words mean the same thing ? "" gasped milo",0.3541596531867981
""" milo acknowledged the introduction and, as tock growled softly, the minister explained",0.4212397634983063
""" milo acknowledged the introduction and, as tock growled softly, the minister explained",0.4212397634983063
""" ""i didn't know that words grew on trees,"" said milo timidly",0.54380863904953
"""i didn't know they grew at all,"" admitted milo even more timidly",0.4725382626056671
"""i've heard not,"" said milo",0.5333400964736938
"but before milo had a chance to say anything, they were rushing off across the square as fast as they had come",0.3937932848930359
"""market,"" recited the duke: ""an open space or covered building in which "" and that was the last milo heard as they disappeared into the crowd",0.39969688653945923
"""i never knew words could be so confusing,"" milo said to tock as he bent down to scratch the dog's ear",0.3210116922855377
"""i never knew words could be so confusing,"" milo said to tock as he bent down to scratch the dog's ear",0.3210116922855377
"""only when you use a lot to say a little,"" answered tock",0.4867743253707886
milo thought this was quite the wisest thing he'd heard all day,0.6518409848213196
""" indeed it was, for as they approached, milo could see crowds of people pushing and shouting their way among the stalls, buying and selling, trading and bargaining",0.5376500487327576
milo and tock wandered up and down the aisles looking at the wonderful assortment of words for sale,0.4275133013725281
milo and tock wandered up and down the aisles looking at the wonderful assortment of words for sale,0.4275133013725281
"""step right upah, what can i do for you, little boy ? how about a nice bagful of pronounsor maybe you'd like our special assortment of names ? "" milo had never thought much about words before, but these looked so good that he longed to have some",0.4870632290840149
"""look, tock,"" he cried, ""aren't they wonderful ? "" ""they're fine, if you have something to say,"" replied tock in a tired voice, for he was much more interested in finding a bone than in shopping for new words",0.5609931349754333
"""maybe if i buy some i can learn how to use them,"" said milo eagerly as he began to pick through the words in the stall",0.4471608102321625
"milo did want to buy something, but the only money he had was the coin he needed to get back through the tollbooth, and tock, of course, had nothing but the time",0.3155694603919983
"""no, thank you,"" replied milo",0.5940152406692505
"""as they turned down the last aisle of stalls, milo noticed a wagon that seemed different from the rest",0.28855496644973755
""" milo nibbled carefully at the letter and discovered that it was quite sweet and deliciousjust the way you'd expect an a to taste",0.6306992769241333
""" he gave milo an i, which was icy and refreshing, and tock a crisp, crunchy c",0.4638393223285675
""" he gave milo an i, which was icy and refreshing, and tock a crisp, crunchy c",0.4638393223285675
"""perhaps i can be of some assistancea-s-s-i-s-ta- n-c-e,"" buzzed an unfamiliar voice, and when milo looked up he saw an enormous bee, at least twice his size, sitting on top of the wagon",0.33665478229522705
""" tock ducked under the wagon, and milo, who was not overly fond of normal-sized bees, began to back away slowly",0.47061553597450256
"""try me, try me ! "" ""can you spell good-by ? "" suggested milo as he continued to back away",0.4963782727718353
"""how much time do i have ? "" ""just ten seconds,"" cried milo excitedly",0.4964398741722107
"""count them off, tock",0.43437808752059937
"""can you spell everything ? "" asked milo admiringly",0.48864462971687317
""" ""bah ! "" said the bug, putting an arm around milo",0.32349398732185364
"milo didn't have any idea what this meant, but it seemed to infuriate the spelling bee, who flew down and knocked off the humbug's hat with his wing",0.2688066363334656
"""be careful,"" shouted milo as the bug swung his cane again, catching the bee on the foot and knocking over the box of w's",0.40750938653945923
"""there must be some other way to "" began milo",0.48714783787727356
"the bee, who had tangled himself in some bunting, toppled to the ground, knocking milo over on top of him, and lay there shouting, ""help ! help ! there's a little boy on me",0.45094040036201477
"the spelling bee, who was quite upset by the whole affair, had flown off in a huff, and just as milo got to his feet the entire police force of dictionopolis appeared loudly blowing his whistle",0.26498907804489136
""" striding across the square was the shortest policeman milo had ever seen",0.4940430223941803
"""i've never seen anyone so guilty,"" he said as he reached milo",0.451538622379303
"""and now,"" he continued, speaking to milo, ""where were you on the night of july 27 ? "" ""what does that have to do with it ? "" asked milo",0.4110722243785858
""" ""now see here,"" growled tock angrily",0.3351079225540161
"now would you like a long or a short sentence ? "" ""a short one, if you please,"" said milo",0.3081401288509369
""" the heavy prison door swung back slowly and milo and tock followed officer shrift down a long dark corridor lit by only an occasional flickering candle",0.3987426161766052
""" the heavy prison door swung back slowly and milo and tock followed officer shrift down a long dark corridor lit by only an occasional flickering candle",0.3987426161766052
""" ""the witch ? "" trembled milo",0.4612986743450165
""" the door opened and then shut and milo and tock found themselves in a high vaulted cell with two tiny windows halfway up on the wall",0.37790802121162415
""" the door opened and then shut and milo and tock found themselves in a high vaulted cell with two tiny windows halfway up on the wall",0.37790802121162415
"""it looks serious, doesn't it, tock ? "" said milo very sadly",0.5342075824737549
"""it looks serious, doesn't it, tock ? "" said milo very sadly",0.5342075824737549
""" ""you know something, tock ? "" he said as he wound up the dog",0.27772101759910583
"milo looked up, very surprised, and noticed for the first time, in the half-light of the room, a pleasant-looking old lady quietly knitting and rocking",0.707440972328186
"""you'd better be very careful,"" milo advised",0.6035906672477722
milo jumped back in fright and quickly grabbed tock to make sure that his alarm didn't go offfor he knew how much witches hate loud noises,0.25697657465934753
milo jumped back in fright and quickly grabbed tock to make sure that his alarm didn't go offfor he knew how much witches hate loud noises,0.25697657465934753
""" ""what's a which ? "" asked milo, releasing tock and stepping a little closer",0.44005072116851807
""" when she had finished, she sighed deeply, patted milo gently on the shoulder, and began knitting once again",0.5733048915863037
"""and have you been down here ever since then ? "" asked milo sympathetically",0.4124195873737335
""" ""i don't think you're frightening,"" said milo, and tock wagged his tail in agreement",0.3993123173713684
""" ""well, when i get out of here, i'm going to help you,"" milo declared forcefully",0.3979189097881317
"""that's very nice of you,"" she replied; ""but the only thing that can help me is the return of rhyme and reason",0.5400143265724182
"""that's very nice of you,"" she replied; ""but the only thing that can help me is the return of rhyme and reason",0.5400143265724182
""" ""the return of what ? "" asked milo",0.504889726638794
""" ""we would like to very much,"" barked tock",0.4659923315048218
""" 'we'll call this one rhyme and this one reason,' he said, and so they became the princess of sweet rhyme and the princess of pure reason and were brought up in the palace",0.6533064246177673
""" 'we'll call this one rhyme and this one reason,' he said, and so they became the princess of sweet rhyme and the princess of pure reason and were brought up in the palace",0.6533064246177673
it was said by everyone that 'rhyme and reason answer all problems,0.4425576627254486
king azaz insisted that words were far more significant than numbers and hence his kingdom was truly the greater and the mathemagician claimed that numbers were much more important than words and hence his kingdom was supreme,0.7058020830154419
king azaz insisted that words were far more significant than numbers and hence his kingdom was truly the greater and the mathemagician claimed that numbers were much more important than words and hence his kingdom was supreme,0.7058020830154419
"that is why today, in all this land, there is neither rhyme nor reason",0.3583175837993622
"that is why today, in all this land, there is neither rhyme nor reason",0.3583175837993622
""" ""and what happened to the two rulers ? "" asked milo",0.4431295692920685
""" ""maybe we can rescue them,"" said milo as he saw how sad the which looked",0.4098556637763977
""" tock growled ominously, for he hated even the thought of demons",0.351332426071167
""" milo pressed the button and a door swung open, letting in a shaft of brilliant sunshine",0.5391212105751038
"milo and tock stood blinking in the bright light and, as their eyes became accustomed to it, the first things they saw were the king's advisers again rushing toward them",0.4224663972854614
"milo and tock stood blinking in the bright light and, as their eyes became accustomed to it, the first things they saw were the king's advisers again rushing toward them",0.4224663972854614
""" they seemed very agitated and out of breath as milo walked along with them",0.46359533071517944
"""oh dear, all those words again,"" thought milo as he climbed into the wagon with tock and the cabinet members",0.45385050773620605
"""oh dear, all those words again,"" thought milo as he climbed into the wagon with tock and the cabinet members",0.45385050773620605
milo and tock followed close behind,0.5048586130142212
milo and tock followed close behind,0.5048586130142212
milo noticed many of the people he had seen in the market place,0.45533639192581177
""" as milo tried to think, there was an ear-shattering blast of trumpets, entirely off key, and a page announced to the startled guests: ""king azaz the unabridged",0.34578967094421387
""" as milo tried to think, there was an ear-shattering blast of trumpets, entirely off key, and a page announced to the startled guests: ""king azaz the unabridged",0.34578967094421387
""" he was the largest man milo had ever seen, with a great stomach, large piercing eyes, a gray beard that reached to his waist, and a silver signet ring on the little finger of his left hand",0.5786173939704895
"""what have we here ? "" he said, staring down at tock and milo as everyone else took his place",0.4140424132347107
"""what have we here ? "" he said, staring down at tock and milo as everyone else took his place",0.4140424132347107
"""if you please,"" said milo, ""my name is milo and this is tock",0.5550369024276733
"""if you please,"" said milo, ""my name is milo and this is tock",0.5550369024276733
"""now, young man, what can you do to entertain us ? sing songs ? tell stories ? compose sonnets ? juggle plates ? do tumbling tricks ? which is it ? "" ""i can't do any of those things,"" admitted milo",0.1546136736869812
"can't you do anything at all ? "" ""i can count to a thousand,"" offered milo",0.35478267073631287
"only use them when we absolutely have to,"" growled azaz disgustedly",0.31329238414764404
"""now, why don't you and tock come up here and sit next to me, and we'll have some dinner ? "" ""are you ready with the menu ? "" reminded the humbug",0.2849787473678589
""" the king clapped his hands, the platters were removed, and, without thinking, milo quickly suggested, ""well, in that case, i think we ought to have a square meal of "" ""a square meal it is,"" shouted the humbug again",0.38089099526405334
"""you first,"" he commanded, pointing to milo",0.48189976811408997
"""your majesty, ladies and gentlemen,"" started milo timidly, ""i would like to take this opportunity to say that in all the "" ""that's quite enough,"" snapped the king",0.4694761633872986
""" ""but i'd just begun,"" objected milo",0.5091536641120911
"""dig in,"" said the king, poking milo with his elbow and looking disapprovingly at his plate",0.4737437963485718
""" ""i didn't know that i was going to have to eat my words,"" objected milo",0.36403852701187134
""" milo looked around at everyone busily stuffing himself and then back at his own unappetizing plate",0.3296816945075989
"""by royal command the pastry chefs have worked all night in the half bakery to make sure that "" ""the half bakery ? "" questioned milo",0.3197226822376251
"by royal command the pastry chefs have worked all night to "" ""what's a half-baked idea ? "" asked milo again",0.3948066830635071
"""will you be quiet ? "" growled azaz angrily; but, before he could begin again, three large serving carts were wheeled into the hall and everyone jumped up to help himself",0.33988428115844727
""" he handed it to milo and, through the icing and nuts, milo saw that it said ""the earth is flat",0.4381576180458069
"milo looked at the great assortment of cakes, which were being eaten almost as quickly as anyone could read them",0.4651646912097931
""" ""i wouldn't eat too many of those if i were you,"" advised tock",0.43791326880455017
""" ""don't worry,"" milo replied; ""i'll just wrap one up for later,"" and he folded his napkin around ""everything happens for the best",0.46106839179992676
""" then, with a most distressed look on his face, he turned to milo and gasped, ""would you kindly fetch me a glass of water ? i seem to have a touch of indigestion",0.41871732473373413
""" ""perhaps you've eaten too much too quickly,"" milo remarked sympathetically",0.4299352169036865
"""loyal subjects and friends,"" continued azaz, his voice echoing in the almost empty room, ""once again on this gala occasion we have "" ""pardon me,"" coughed milo as politely as possible, ""but everyone has gone",0.4772663116455078
"how can they eat dinner right after a banquet ? "" asked milo",0.30445975065231323
""" ""but that's just as bad,"" protested milo",0.4980165660381317
""" ""i don't know which side of anything to look at,"" protested milo",0.43720701336860657
"""perhaps you might allow rhyme and reason to return,"" said milo softly, for he had been waiting for just such an opportunity to suggest it",0.3001292943954468
"""perhaps you might allow rhyme and reason to return,"" said milo softly, for he had been waiting for just such an opportunity to suggest it",0.3001292943954468
"""perhaps you might allow rhyme and reason to return,"" said milo softly, for he had been waiting for just such an opportunity to suggest it",0.3001292943954468
"""why not ? "" asked milo",0.4714772403240204
""" ""you could if you really wanted to,"" insisted milo",0.5180922150611877
"""yes, please,"" seconded milo",0.5428645014762878
"then he would have to persuade the mathemagician to agree to release the little princessesand, of course, he'd never agree to agree to anything that you agreed with",0.3814811408519745
"""it sounds dangerous to me,"" said milo",0.5472986698150635
""" ""but you see "" began milo",0.6206904649734497
"""dictionopolis will always be grateful, my boy,"" interrupted the king, throwing one arm around milo and patting tock with the other",0.2728561460971832
"""dictionopolis will always be grateful, my boy,"" interrupted the king, throwing one arm around milo and patting tock with the other",0.2728561460971832
""" he drew from inside his cape a small heavy box about the size of a schoolbook and handed it ceremoniously to milo",0.4893600046634674
""" milo accepted the gift with thanks and the little group walked to the car, still parked at the edge of the square",0.6140469312667847
"""i'm sure he'll be a great help,"" cried milo as they drove across the square",0.666178286075592
"""i hope so,"" thought tock to himself, for he was far less sure",0.4012179970741272
milo and tock wondered what strange adventures lay ahead,0.5553459525108337
milo and tock wondered what strange adventures lay ahead,0.5553459525108337
"""isn't it beautiful ? "" gasped milo",0.6096323728561401
"milo turned around and found himself staring at two very neatly polished brown shoes, for standing directly in front of him (if you can use the word ""standing"" for anyone suspended in mid-air) was another boy just about his age, whose feet were easily three feet off the ground",0.26967853307724
""" ""what does that have to do with it ? "" asked milo",0.39985090494155884
""" ""what do you mean ? "" milo asked",0.4577845633029938
""" ""oh no,"" said milo seriously",0.46523353457450867
"""for instance, you had orange juice, boiled eggs, toast and jam, and milk for breakfast,"" he said, turning to milo",0.4074689447879791
"""and you are always worried about people wasting time,"" he said to tock",0.2930811047554016
"""amazing,"" gasped tock",0.46604564785957336
"""how do you know all that ? "" asked milo",0.46112260222435
""" ""would it be possible for me to see something from up there ? "" asked milo politely",0.3733641505241394
""" milo tried as hard as he could, and, as he did, his feet floated slowly off the ground until he was standing in the air next to alec bings",0.2834135890007019
